ImageInd	1
maxSize	None
minSize	50
minCir	0.6
channel	2
maxCir	None
thresh	75
->
x	y	r	c
6017.816	26404.032	10.013	0.951
6471.128	26590.474	10.108	0.853
1036.482	26649.184	6.699	0.611
6148.198	26666.036	5.944	0.989
7964.901	26828.995	10.764	0.864
1002.141	26944.519	6.555	0.884
2144.267	27559.304	14.116	0.863
6552.847	27595.567	10.187	0.832
6583.612	27720.976	14.549	0.806
6551.601	27737.698	10.525	0.822
5836.059	27749.014	11.658	0.630
2426.613	27771.592	18.567	0.626
2051.155	27760.086	6.077	0.802
2320.920	27802.543	17.868	0.680
6022.733	28074.573	17.371	0.635
4147.241	28140.634	11.942	0.881
6995.209	28154.646	9.723	0.721
6910.854	28198.112	9.690	0.914
3011.899	28537.216	6.652	0.972
5272.528	28778.838	16.449	0.728
5171.673	28800.406	13.634	0.928
5113.218	28817.452	15.492	0.804
7645.795	28988.431	10.202	0.829
7654.592	29043.539	4.918	0.974
4315.783	29168.671	12.940	0.940
3983.473	29203.593	14.116	0.743
4273.651	29211.800	12.552	0.916
4078.665	29350.429	12.828	0.924
8070.725	29383.533	11.535	0.917
5674.434	29399.773	11.099	0.933
5902.702	29499.076	11.562	0.914
5956.341	30009.138	13.422	0.784
6009.597	30018.867	14.527	0.625
5996.646	30066.848	9.723	0.920
5844.672	30069.864	10.705	0.912
6029.078	30093.477	10.896	0.910
5890.893	30097.065	10.372	0.904
6436.103	30131.274	10.403	0.903
5889.698	30450.338	9.458	0.842
4760.091	31925.037	11.354	0.937
1511.107	33384.402	25.124	0.813
1150.381	34097.098	21.624	0.711
517.672	34397.760	8.538	0.884
1087.745	34562.264	5.809	0.904
686.649	35440.895	4.260	0.878
648.078	35495.899	9.869	0.803
1035.395	35980.001	19.779	0.776
1896.022	36089.815	13.866	0.720
202.211	36207.877	4.260	0.739
2835.780	36427.189	7.114	0.772
260.027	36524.675	15.076	0.781
9579.963	254.506	9.288	0.758
9577.907	281.662	11.227	0.879
16022.746	427.365	4.478	0.783
16259.224	676.451	10.925	0.790
16277.457	822.835	14.549	0.840
9692.987	1234.391	26.667	0.760
9339.030	1430.010	5.642	0.880
9266.113	1569.135	18.264	0.730
8636.675	1718.912	27.622	0.661
8892.995	1964.936	14.262	0.880
8684.995	2354.160	25.750	0.732
12348.073	2366.945	14.895	0.895
16345.504	2506.632	8.777	0.769
9397.464	2596.040	20.066	0.731
8841.766	2596.740	13.739	0.606
9518.072	2697.265	5.140	0.851
9451.845	2710.897	4.297	0.722
8726.051	2807.554	11.396	0.774
15810.219	2814.118	8.519	0.932
15978.000	2829.092	13.255	0.771
9594.052	2841.338	4.951	0.741
16239.132	2885.331	6.206	0.744
10017.434	3069.943	4.107	0.725
9987.660	3281.943	4.107	1.000
11711.641	3520.936	17.544	0.655
12077.039	3998.638	15.998	0.703
12135.217	4021.061	15.327	0.794
14217.504	4038.380	15.817	0.774
13272.758	4110.247	15.202	0.669
13372.621	4242.368	10.925	0.839
13982.950	4346.958	11.013	0.919
13914.855	4398.906	16.342	0.734
11248.400	4543.800	4.370	0.739
9091.175	5372.880	11.835	0.787
15572.606	5412.513	13.957	0.749
12265.326	5470.880	10.171	0.764
9169.828	5528.808	9.115	0.928
12948.229	5660.995	11.185	0.721
11579.716	5815.633	12.565	0.750
12620.297	5863.673	10.808	0.800
12318.329	5934.858	11.085	0.860
9299.659	6049.727	12.412	0.803
8819.363	6233.246	9.458	0.827
12614.251	6307.427	14.026	0.882
9793.916	6603.296	9.339	0.905
14902.024	6667.706	10.867	0.954
14908.322	6781.818	11.767	0.900
14252.147	6886.694	10.093	0.877
13401.810	6952.726	5.171	0.971
14874.414	6989.539	12.791	0.638
9295.824	7281.482	8.406	0.918
9755.445	7284.220	8.330	0.959
14621.359	7638.479	12.309	0.839
8939.006	7946.413	12.257	0.927
12093.170	7958.283	4.107	0.993
9784.496	8169.949	11.128	0.908
15479.421	8182.313	12.021	0.804
15182.293	8229.722	12.425	0.852
12680.318	8241.197	10.867	0.861
12584.353	8332.693	11.480	0.858
12883.000	8345.687	12.399	0.847
12155.772	8401.888	11.284	0.756
12112.141	8576.914	11.521	0.869
