ImageInd	1
maxSize	None
minSize	50
minCir	0.6
channel	2
maxCir	None
thresh	75
->
x	y	r	c
24161.199	18775.385	12.061	0.868
22804.719	18891.810	12.540	0.901
23311.914	19195.017	4.297	0.743
23498.547	19280.151	4.107	1.000
20660.760	19452.647	11.754	0.887
16500.942	19492.879	9.045	0.793
17690.443	19519.623	10.955	0.813
19803.185	19916.695	12.008	0.855
16749.444	20053.584	12.061	0.904
19274.619	20151.513	13.111	0.876
16674.947	20167.659	16.116	0.622
21846.898	20283.357	5.585	0.828
18720.573	20296.688	19.633	0.750
22309.230	20298.770	4.853	0.651
17372.934	20328.596	13.750	0.865
20870.901	20410.755	11.902	0.875
22405.965	20436.805	5.997	0.935
19575.635	20453.101	12.779	0.751
20427.502	20582.613	11.888	0.894
19772.735	20585.320	13.159	0.856
16512.694	20656.470	14.820	0.739
21211.463	20787.071	11.781	0.762
17364.988	20897.000	11.699	0.832
19287.129	21015.208	19.955	0.620
17333.504	21076.394	12.361	0.823
17919.569	21177.739	16.254	0.715
19922.967	21213.044	14.916	0.811
22588.934	21247.086	6.956	0.721
22773.169	21275.468	6.283	0.872
24302.783	21287.867	5.140	0.950
24317.061	21290.348	4.583	0.949
21174.346	21435.423	15.706	0.775
18683.313	21448.925	13.493	0.919
17427.177	21459.254	11.298	0.882
20527.221	21472.614	20.240	0.638
21782.178	21589.160	12.540	0.876
19809.021	21591.410	11.070	0.929
19777.110	21650.307	12.927	0.871
16841.107	21711.036	4.222	1.000
18672.962	21805.679	14.494	0.813
17784.806	21909.387	5.441	0.875
17337.808	21965.283	12.087	0.910
18661.717	21969.833	12.590	0.883
18866.466	22003.143	14.003	0.843
20483.879	22237.483	4.297	0.624
20530.293	22237.988	5.109	0.729
23260.332	22292.508	11.027	0.907
23207.090	22329.600	11.284	0.817
24471.109	22332.211	16.935	0.838
18464.956	22332.010	12.565	0.923
19751.972	22383.948	20.193	0.672
21669.834	22387.072	12.616	0.899
22779.267	22415.783	11.604	0.850
20883.317	22471.810	4.478	0.886
19325.562	22510.250	12.866	0.836
20506.355	22529.097	5.441	0.900
22881.250	22545.823	12.565	0.936
21601.367	22547.633	11.955	0.779
19453.676	22567.278	12.653	0.819
20144.097	22604.987	16.698	0.781
17290.719	22603.095	12.412	0.865
17588.294	22631.706	4.029	0.981
20600.433	22720.067	14.582	0.697
20806.276	22710.846	6.257	0.936
20809.176	22721.527	4.853	0.881
18933.793	22840.830	11.699	0.917
17720.516	22890.428	14.228	0.841
17672.515	22904.649	5.557	0.803
21658.511	23035.335	11.241	0.829
22298.127	23077.952	12.666	0.881
22051.356	23118.514	11.699	0.825
19345.828	23261.464	12.540	0.874
23093.647	23295.647	5.698	0.717
21633.031	23326.674	15.717	0.752
21564.773	23356.168	12.374	0.708
23187.168	23379.243	5.836	0.770
21682.660	23440.441	11.888	0.833
24363.392	23592.863	14.863	0.642
17618.952	23676.270	4.478	0.679
21704.422	23726.170	6.555	0.934
23067.815	23734.411	11.199	0.886
16521.396	23776.053	22.792	0.695
20200.231	23785.890	13.587	0.891
20228.448	23824.250	21.305	0.717
19510.523	23960.422	21.087	0.788
24361.078	23984.196	4.029	0.686
17282.152	24155.114	12.527	0.899
22845.359	24289.462	7.653	0.862
22873.266	24355.700	8.117	0.856
23016.324	24588.831	4.754	1.000
23750.492	24635.359	6.383	0.885
23690.182	24665.746	11.466	0.826
23511.794	24701.084	5.836	0.913
23472.757	24736.786	4.720	0.917
17253.120	24771.811	12.903	0.814
23436.453	24776.078	4.514	0.749
17328.401	24819.084	12.603	0.819
23313.772	24830.807	4.260	0.788
23302.512	24846.923	8.156	0.690
23176.059	24881.202	7.736	0.827
23315.515	24909.309	4.652	0.956
17475.895	24948.185	12.309	0.930
23132.607	24982.623	4.406	0.877
23309.536	24990.821	4.222	1.000
23067.355	25032.844	6.699	0.668
23054.914	25046.679	5.078	0.624
19694.682	25367.448	16.708	0.805
16483.150	25434.591	12.779	0.875
22259.740	25446.946	13.912	0.874
17619.567	25449.120	15.968	0.739
20206.384	25480.811	13.900	0.888
18455.743	25555.336	16.027	0.746
23596.763	25646.250	4.918	0.980
22487.271	25679.548	8.387	0.684
21439.723	25699.789	13.001	0.838
23796.012	25724.609	13.797	0.850
23986.033	25723.767	4.370	1.000
17498.774	25838.626	17.788	0.758
22767.130	25946.534	12.114	0.954
21048.214	25985.498	12.565	0.910
20370.862	26024.624	14.625	0.931
19435.323	26270.117	13.493	0.919
22789.041	26271.805	12.704	0.828
22755.263	26271.009	12.205	0.909
22802.075	26305.122	12.218	0.876
23539.586	26352.463	12.552	0.868
23649.442	26354.809	12.989	0.897
19605.492	26410.920	12.283	0.699
20443.071	26416.804	13.434	0.822
22813.653	26419.912	12.741	0.917
22987.908	26429.049	12.179	0.898
23019.590	26430.464	12.114	0.888
21602.221	26494.560	12.590	0.866
23066.727	26513.231	17.380	0.633
23026.621	26549.711	11.549	0.889
18688.111	26561.383	5.078	0.844
23117.457	26669.296	12.578	0.890
23265.694	26707.138	12.691	0.905
18945.134	26825.729	19.915	0.796
18796.269	26840.377	12.218	0.938
17379.121	26840.379	6.283	0.874
17534.447	26895.026	4.918	0.789
23150.606	26939.901	4.754	0.945
20403.552	26979.880	14.505	0.727
20613.353	26974.574	4.652	0.891
17744.172	27000.141	4.514	0.778
19117.304	27073.894	13.831	0.895
17885.726	27144.597	4.442	1.000
17909.964	27145.927	4.184	0.601
17968.084	27214.289	5.140	0.995
18011.842	27214.829	4.918	0.924
22235.660	27259.689	18.168	0.749
23373.917	27272.062	20.319	0.803
23073.561	27362.895	4.260	0.779
16904.975	27398.810	21.275	0.700
20603.427	27598.198	22.327	0.655
19279.599	27606.063	13.692	0.725
23089.494	27609.365	13.946	0.883
22005.520	27746.657	8.058	0.627
22027.220	27768.869	8.667	0.883
21771.339	27789.967	13.808	0.797
20295.799	27927.101	14.505	0.835
21715.911	28013.301	12.976	0.943
21726.040	28053.085	16.146	0.760
21285.324	28096.955	13.517	0.903
21832.359	28125.821	15.149	0.747
21668.339	28165.916	11.713	0.791
21737.625	28198.374	16.497	0.720
21669.244	28197.286	12.666	0.869
22528.855	28233.245	5.917	0.899
22657.000	28278.012	5.109	0.934
22676.288	28396.692	15.727	0.828
17487.298	28425.535	11.875	0.897
20360.984	28609.298	12.451	0.906
20344.403	28633.564	12.729	0.921
22652.766	28634.203	12.074	0.854
22620.148	28642.066	4.406	1.000
20450.733	28672.333	12.828	0.911
21461.159	28795.584	11.835	0.895
21299.837	28815.638	15.430	0.803
24032.811	28831.943	4.107	0.645
24020.145	28836.704	7.114	0.817
16880.963	28860.977	13.785	0.831
21457.722	28908.167	14.362	0.904
20557.790	28912.345	14.048	0.834
18251.534	29036.649	13.634	0.939
21662.534	29181.974	13.195	0.845
24180.286	29235.673	5.585	0.845
21324.364	29311.224	16.391	0.815
21409.033	29317.387	13.866	0.888
20691.293	29332.711	12.244	0.913
24439.286	29388.214	5.971	0.943
21917.468	29414.085	13.843	0.827
24471.080	29409.373	4.886	1.000
21980.521	29429.253	12.890	0.890
24523.678	29423.881	4.334	1.000
24550.926	29454.037	18.438	0.667
24231.958	29459.875	5.528	0.941
22907.202	29516.076	12.628	0.906
22693.366	29522.967	12.828	0.812
22706.897	29552.507	12.527	0.866
24249.952	29585.746	4.478	1.000
24177.770	29591.738	6.232	0.658
23271.143	29634.949	5.585	0.878
17174.571	29652.690	13.375	0.852
24134.841	29788.248	7.069	0.661
20795.138	29958.276	12.616	0.808
22229.318	29989.949	12.296	0.648
22287.437	29997.304	16.574	0.703
22764.587	30068.079	4.478	0.804
22746.646	30079.854	5.528	0.893
18540.090	30156.144	11.312	0.954
23150.758	30163.197	4.583	0.803
24461.410	30220.482	5.140	1.000
23371.653	30221.472	4.787	1.000
23931.277	30307.975	14.658	0.847
17957.713	30419.882	13.025	0.951
17753.685	30666.989	13.147	0.884
24108.168	30706.667	13.074	0.939
24491.468	30888.934	14.195	0.809
18289.187	30981.950	12.666	0.901
24437.045	31598.160	14.329	0.920
16852.688	33260.365	19.413	0.720
16997.203	33775.842	24.521	0.766
17238.597	34098.726	4.442	0.848
17138.925	34374.830	4.107	0.600
17323.816	34414.026	14.874	0.872
17664.131	34475.556	9.080	0.906
17642.296	34501.398	5.585	0.811
17926.033	34805.858	24.990	0.710
18489.036	35308.218	5.917	0.985
18371.435	35357.976	5.202	0.873
18444.900	35375.557	4.720	0.821
18247.159	35391.554	19.356	0.788
18223.195	35401.415	5.109	0.884
18660.483	35427.742	8.156	0.822
18519.329	35437.532	12.641	0.780
18275.555	35476.942	24.657	0.819
18238.942	35470.649	7.378	0.633
18630.016	35515.064	30.466	0.660
18391.122	35541.747	12.179	0.749
